file	component	component_lines	controller_lines	return_lines	statement_count	scc_count	largest_scc_lines	largest_scc_names	root_jsx_children	largest_child_lines
admin/components/test-editor-wizard.tsx	QuestionsPanel	1476	718	716	54	54	186	updateGroup	3	686
frontend/components/exam/reading-exam-preview.tsx	ReadingExamPreview	4270	3204	973	200	200	531	renderQuestionControl	8	298
frontend/app/(app)/speaking/speaking-page-client.tsx	useSpeakingLiveSession	783	712	23	68	68	272		0	0
frontend/app/(app)/writing/submissions/[submissionId]/result/result-client.tsx	WritingResultClient	924	236	667	47	47	57		11	289
admin/app/(dashboard)/promo-codes/page.tsx	PromoCodesPage	843	239	582	46	46	43	handleCreate	6	315
frontend/app/(app)/analytics/[skill]/skill-analytics-client.tsx	WritingAnalyticsContent	337	67	267	17	17	16	writingMetricsData	1	263
frontend/components/subscription/subscription-workspace.tsx	ActiveInvoiceModal	288	78	190	16	16	38		1	186
frontend/components/layout/site-shell.tsx	SiteShell	714	225	469	29	29	55		5	273
frontend/app/exam-preview/writing/writing-exam-client.tsx	WritingExamClient	610	372	206	60	60	67		4	88
admin/components/ai-settings-dashboard.tsx	AiSettingsDashboard	646	378	243	38	38	76	renderUseCaseBinding	6	139
admin/app/(dashboard)/speaking/page.tsx	TopicFormModal	278	107	147	16	16	61	handleSubmit	2	137
frontend/components/attempt-workspaces.tsx	ListeningAttemptWorkspace	370	158	191	19	19	48		3	83
frontend/components/marketing/pricing-plan-grid.tsx	PricingPlanGrid	469	267	183	14	14	238		2	173
frontend/app/(app)/dashboard/page.tsx	DashboardPage	565	94	458	22	22	23		3	288
frontend/app/(app)/speaking/topics/speaking-topic-picker-client.tsx	SpeakingTopicPickerClient	325	182	130	25	25	60		2	119
frontend/app/(app)/speaking/microphone-check/microphone-check-client.tsx	MicrophoneCheckClient	310	251	47	29	29	98	startMic	1	43
admin/app/(dashboard)/users/[id]/page.tsx	UserDetailPage	492	120	357	31	31	35	fetchUser	13	151
admin/app/(dashboard)/writing/page.tsx	WritingTasksPage	377	83	282	21	21	22	fetchTasks	7	164
admin/components/writing-task-form.tsx	WritingTaskForm	497	170	312	26	26	42	handleSubmit	7	146
admin/components/payments-manager.tsx	PaymentsManager	504	188	305	23	23	40	handleCreateCard	6	143
admin/components/plans/plan-manager.tsx	PlanManager	454	133	309	16	16	69	handleSave	5	179
admin/app/(dashboard)/users/page.tsx	UsersPage	432	177	241	29	29	50	fetchUsers	10	78
admin/app/(dashboard)/settings/page.tsx	SettingsPage	401	142	244	23	23	60	handleSecuritySubmit	16	71
frontend/app/(app)/dashboard/streak-heatmap.tsx	StreakHeatmap	322	65	245	21	21	14	monthList	1	241
frontend/components/exam/listening-transcript-panel.tsx	ListeningTranscriptPanel	400	293	88	16	16	164		2	56
frontend/app/(app)/settings/page.tsx	SettingsPage	472	196	259	24	24	34	resolveSessionMeta	1	255
admin/app/(dashboard)/reviews/page.tsx	ReviewsAdminPage	363	116	237	23	23	26	handleCreate	5	212
frontend/components/layout/app-shell.tsx	AppShell	439	333	88	28	28	139	SidebarNavigation	7	21
frontend/components/marketing/login-page-client.tsx	LoginPageClient	420	112	298	21	21	79	handleVerify	4	249
admin/app/(dashboard)/writing/[taskId]/page.tsx	WritingTaskDetailPage	381	79	292	16	16	19	load	9	105
admin/app/(dashboard)/writing/submissions/[submissionId]/page.tsx	WritingSubmissionDetailPage	313	56	248	11	11	17		11	60
admin/app/(dashboard)/dashboard/page.tsx	DashboardPage	303	2	294	2	2	1	metrics	11	95
admin/app/(dashboard)/analytics/page.tsx	AnalyticsPage	318	1	310	1	1	1	report	12	89
frontend/app/(app)/tests/practice-catalog-utils.ts	filterPracticeCatalogTests	32	1	14	1	1	1	searchQuery	0	0
