file	frontend/components/exam/reading-exam-preview.tsx
component	ReadingExamPreview
start	996
end	5265

index	kind	start	end	lines	names	local_refs	all_refs
1	hook	997	997	1	router		useRouter
2	derived	998	998	1	isAttemptPreview		Boolean,data
3	hook	999	999	1	storedCandidateName		useAuthStore
4	hook	1000	1000	1	accessToken		useAuthStore
5	derived	1001	1001	1	containerRef		HTMLElement,useRef
6	derived	1002	1002	1	readingPaneRef		HTMLDivElement,useRef
7	derived	1003	1003	1	questionPaneRef		HTMLDivElement,useRef
8	derived	1004	1004	1	listeningAudioRef		HTMLAudioElement,useRef
9	derived	1005	1005	1	textBlockRefs		HTMLElement,Record,useRef
10	derived	1006	1006	1	examData		DEFAULT_EXAM_DATA,data
11	derived	1007	1007	1	initialTimeSpentSeconds	examData	Math,examData
12	memo	1008	1011	4	initialReviewTarget	examData	examData,resolveInitialReviewTarget,useMemo
13	derived	1012	1012	1	initialQuestionId	examData,initialReviewTarget	examData,initialReviewTarget
14	derived	1013	1013	1	initialSectionId	examData,initialQuestionId,initialReviewTarget	examData,findSectionIdForQuestion,initialQuestionId,initialReviewTarget
15	derived	1014	1014	1	answers,setAnswers	examData	Record,examData,useState
16	state	1015	1015	1	hasMounted,setHasMounted		useState
17	derived	1016	1016	1	theme,setTheme		useState
18	state	1017	1017	1	splitRatio,setSplitRatio	examData	clampSplitRatio,examData,useState
19	state	1018	1018	1	fontScale,setFontScale	examData	clampFontScale,examData,useState
20	state	1019	1023	5	timeLeft,setTimeLeft	examData,initialTimeSpentSeconds	Math,examData,initialTimeSpentSeconds,mode,useState
21	state	1024	1024	1	isSubmitted,setIsSubmitted		useState
22	state	1025	1025	1	isSubmitting,setIsSubmitting		useState
23	state	1026	1026	1	isCalculatingResults,setIsCalculatingResults		useState
24	state	1027	1027	1	isFullscreen,setIsFullscreen		useState
25	derived	1028	1028	1	activeDialog,setActiveDialog		PreviewDialog,useState
26	derived	1029	1029	1	activeDialogRef		PreviewDialog,useRef
27	derived	1030	1030	1	fullscreenDialogStage,setFullscreenDialogStage		FullscreenDialogStage,useState
28	state	1031	1031	1	fullscreenExitCountdown,setFullscreenExitCountdown		useState
