file	frontend/app/(app)/writing/submissions/[submissionId]/result/result-client.tsx
component	WritingResultClient
start	955
end	1878

index	kind	start	end	lines	names	local_refs	all_refs
1	derived	961	966	6	initialStage		LoadingStage,String,initialResult,initialStatus,useMemo
2	derived	968	968	1	stage,setStage	initialStage	LoadingStage,initialStage,useState
3	derived	969	969	1	result,setResult		WritingSubmissionResult,initialResult,useState
4	derived	970	970	1	errorMessage,setErrorMessage		initialErrorMessage,useState
5	derived	971	971	1	activeAnnotation,setActiveAnnotation		useState
6	derived	972	972	1	activeVersion,setActiveVersion		useState
7	state	973	973	1	activeStep,setActiveStep		useState
8	state	974	974	1	sseAvailable,setSseAvailable		useState
9	state	975	975	1	retrying,setRetrying		useState
10	state	976	976	1	desiredScore,setDesiredScore		useState
11	derived	977	977	1	copiedAnnotation,setCopiedAnnotation		useState
12	derived	978	978	1	annotatedRef		HTMLDivElement,useRef
13	effect	980	988	9		setDesiredScore	Math,Number,parseFloat,setDesiredScore,useEffect,window
14	effect	990	1001	12		activeStep,setActiveStep,stage	GRADING_STEPS,Math,STEP_ADVANCE_MS,activeStep,clearTimeout,setActiveStep,setTimeout,stage,useEffect
15	effect	1003	1059	57		errorMessage,setActiveStep,setErrorMessage,setResult,setSseAvailable,setStage,sseAvailable,stage	Error,EventSource,GRADING_STEPS,JSON,Math,String,errorMessage,fetchWritingSubmissionResult,setActiveStep,setErrorMessage,setResult,setSseAvailable,setStage,sseAvailable,stage,stepIndex,submissionId,useEffect,window
16	effect	1061	1102	42		setActiveStep,setErrorMessage,setResult,setStage,sseAvailable,stage	GRADING_STEPS,ReturnType,String,clearTimeout,fetchWritingSubmissionResult,pollWritingSubmission,setActiveStep,setErrorMessage,setResult,setStage,setTimeout,sseAvailable,stage,submissionId,useEffect
17	memo	1104	1107	4	annotations	result	result,useMemo
18	memo	1108	1111	4	segments	annotations,result	annotations,buildAnnotatedSegments,result,useMemo
19	effect	1113	1123	11		activeAnnotation,annotatedRef	HTMLElement,activeAnnotation,annotatedRef,useEffect
20	derived	1125	1141	17	handleRetry	retrying,setActiveStep,setErrorMessage,setResult,setRetrying,setSseAvailable,setStage	Error,retryWritingSubmission,retrying,setActiveStep,setErrorMessage,setResult,setRetrying,setSseAvailable,setStage,submissionId
21	derived	1143	1150	8	copyText	setCopiedAnnotation	navigator,setCopiedAnnotation,window
22	guard	1152	1158	7		errorMessage,handleRetry,retrying,stage	FailedScreen,div,errorMessage,handleRetry,retrying,stage
23	guard	1160	1166	7		activeStep,result,stage	GradingScreen,activeStep,div,result,stage
24	derived	1168	1168	1	overall	result	result,toBandNumber
25	derived	1169	1169	1	storedDesiredScore	desiredScore	desiredScore
26	derived	1170	1172	3	resultDesiredScore	result	result,toBandNumber,undefined
27	derived	1173	1173	1	effectiveDesiredScore	resultDesiredScore,storedDesiredScore	resultDesiredScore,storedDesiredScore
28	derived	1174	1176	3	potential	result	result,toBandNumber,undefined
