status	parts	path	detail
skipped	0	frontend/app/(app)/analytics/[skill]/skill-analytics-client.tsx	dependency component exceeds 220 lines: SkillDetailContent
skipped	0	frontend/app/(app)/analytics/overview-client.tsx	dependency component exceeds 220 lines: AnalyticsOverviewClient
split	5	frontend/app/(app)/attempts/[attemptId]/result/page.tsx	
split	3	frontend/app/(app)/dashboard/activity-summary.tsx	
skipped	0	frontend/app/(app)/dashboard/page.tsx	dependency component exceeds 220 lines: DashboardPage
skipped	0	frontend/app/(app)/dashboard/skill-performance.tsx	dependency component exceeds 220 lines: SkillPerformance
skipped	0	frontend/app/(app)/dashboard/streak-heatmap.tsx	dependency component exceeds 220 lines: StreakHeatmap
split	5	frontend/app/(app)/history/history-client.tsx	
split	3	frontend/app/(app)/leaderboard/page.tsx	
skipped	0	frontend/app/(app)/settings/page.tsx	dependency component exceeds 220 lines: SettingsPage
skipped	0	frontend/app/(app)/speaking/microphone-check/microphone-check-client.tsx	dependency component exceeds 220 lines: MicrophoneCheckClient
split	2	frontend/app/(app)/speaking/part-2/live/part-2-live-client.tsx	
skipped	0	frontend/app/(app)/speaking/speaking-page-client.tsx	dependency component exceeds 220 lines: useSpeakingLiveSession
skipped	0	frontend/app/(app)/speaking/topics/speaking-topic-picker-client.tsx	dependency component exceeds 220 lines: SpeakingTopicPickerClient
split	3	frontend/app/(app)/tests/latest-tests-panel.tsx	
split	10	frontend/app/(app)/tests/page.tsx	
skipped	0	frontend/app/(app)/tests/practice-catalog-utils.ts	unsupported top-level ExportDeclaration
split	3	frontend/app/(app)/tests/practice-catalog-view.tsx	
skipped	0	frontend/app/(app)/writing/custom-task-card.tsx	dependency component exceeds 220 lines: CustomTaskDialog
skipped	0	frontend/app/(app)/writing/submissions/[submissionId]/result/result-client.tsx	dependency component exceeds 220 lines: WritingResultClient
skipped	0	frontend/app/admin/(panel)/tests/page.tsx	dependency component exceeds 220 lines: AdminTestsPage
split	3	frontend/app/exam-preview/listening/page.tsx	
split	3	frontend/app/exam-preview/reading/page.tsx	
skipped	0	frontend/app/exam-preview/writing/writing-exam-client.tsx	dependency component exceeds 220 lines: WritingExamClient
skipped	0	frontend/components/attempt-workspaces.tsx	dependency component exceeds 220 lines: ReadingAttemptWorkspace
skipped	0	frontend/components/exam/listening-transcript-panel.tsx	dependency component exceeds 220 lines: ListeningTranscriptPanel
skipped	0	frontend/components/exam/reading-exam-preview.tsx	dependency component exceeds 220 lines: ReadingExamPreview
skipped	0	frontend/components/layout/app-loading-placeholder.tsx	dependency component exceeds 220 lines: AnalyticsSkeleton
skipped	0	frontend/components/layout/app-shell.tsx	dependency component exceeds 220 lines: AppShell
skipped	0	frontend/components/layout/site-shell.tsx	dependency component exceeds 220 lines: SiteShell
skipped	0	frontend/components/leaderboard/user-profile-modal.tsx	dependency component exceeds 220 lines: LeaderboardUserProfileModal
skipped	0	frontend/components/marketing/landing-motion.tsx	dependency component exceeds 220 lines: DeviceShowcase
split	5	frontend/components/marketing/landing-page-client.tsx	
skipped	0	frontend/components/marketing/login-page-client.tsx	dependency component exceeds 220 lines: LoginPageClient
skipped	0	frontend/components/marketing/pricing-plan-grid.tsx	dependency component exceeds 220 lines: PricingPlanGrid
split	2	frontend/components/speaking/part-1-live-view.tsx	
split	4	frontend/components/speaking/part-2-live-view.tsx	
split	3	frontend/components/speaking/speaking-result-summary.tsx	
skipped	0	frontend/components/start-test-modal.tsx	dependency component exceeds 220 lines: StartTestModal
skipped	0	frontend/components/subscription/subscription-workspace.tsx	dependency component exceeds 220 lines: ActiveInvoiceModal
split	3	frontend/lib/analytics.ts	
split	3	frontend/lib/api/types.ts	
split	3	frontend/lib/seo.ts	
